playerID,blocks,oPointsScored,drops,yds_per_att,o_pct,ovd,throwaways,hockeyAssists,yardsReceived,yardsThrown,pulls,yds_per_catch,huck_pct,assists,goals,hucksAttempted,catches,d_pct,turnovers,cluster
aarsenaul,1.5,0.875,0.25,6.512301587301588,0.4375,0.17073170731707318,0.75,0.5,58.5,31.875,0.375,8.955573593073593,0.75,1.0,0.5,0.5,6.375,0.2786885245901639,1.0,0
aarsenaul1,1.0555555555555556,15.055555555555555,0.6666666666666666,6.239418734255335,0.7020725388601037,0.9854545454545455,1.0,2.0555555555555554,272.72222222222223,128.16666666666666,0.0,12.020285541140407,0.75,1.7222222222222223,3.2222222222222223,0.6666666666666666,21.666666666666668,0.13793103448275862,1.7222222222222223,2
aatkins,1.125,15.625,0.25,8.523459311672628,0.7668711656441718,0.9615384615384616,1.0,2.375,117.75,261.125,2.0,3.6737613615240146,0.9285714285714286,2.5,1.875,1.75,31.0,0.20833333333333334,1.25,3
abarden,0.375,4.125,0.25,6.886498917748917,0.5789473684210527,0.559322033898305,0.875,0.625,121.125,38.0,7.875,14.052480158730159,0.3333333333333333,0.5,1.75,0.75,8.25,0.34210526315789475,1.125,1
abartlett,0.2,4.2,0.0,7.591666666666667,0.8076923076923077,0.65625,0.4,0.8,67.6,20.0,0.0,10.397186147186147,0.0,0.4,0.6,0.0,6.2,0.23404255319148937,0.4,1
abelfiore,0.0,6.75,0.0,7.636133603238866,0.5869565217391305,0.7714285714285715,1.0,1.25,116.75,161.25,0.0,6.341359447004608,1.0,1.0,1.75,0.5,17.75,0.25806451612903225,1.0,2
abenton,0.08333333333333333,5.916666666666667,0.25,12.191863728962659,0.6396396396396397,0.8068181818181818,2.0,1.1666666666666667,29.25,177.66666666666666,3.75,2.533671126852945,0.5357142857142857,1.5,0.25,2.3333333333333335,10.666666666666666,0.3148148148148148,2.25,2
abrouwer,0.2222222222222222,1.2777777777777777,0.16666666666666666,2.1366013071895424,0.5897435897435898,0.3484848484848485,0.16666666666666666,0.16666666666666666,48.888888888888886,4.055555555555555,0.2222222222222222,12.65280112044818,0.0,0.05555555555555555,0.8333333333333334,0.0,3.4444444444444446,0.2037914691943128,0.3333333333333333,4
aburgess,0.6666666666666666,11.666666666666666,0.3333333333333333,3.538916767006878,0.625,0.8860759493670886,1.5,1.5,38.333333333333336,101.16666666666667,0.16666666666666666,2.3027328235919566,0.25,1.0,0.6666666666666666,0.6666666666666666,22.0,0.391304347826087,1.8333333333333333,2
acameron,0.4,1.0,0.0,10.647619047619049,0.8333333333333334,0.22727272727272727,0.4,0.4,17.0,57.0,0.0,3.1277777777777778,1.0,0.2,0.8,0.2,4.4,0.2537313432835821,0.4,0
acarroll,0.0,12.75,0.625,7.610488982873852,0.6891891891891891,1.0,1.125,1.625,226.75,134.875,0.0,10.841374507363142,0.7142857142857143,2.25,2.0,0.875,20.25,0.251241912246431,1.875,2
acloud,0.4,0.0,0.2,7.067216117216117,0.6020587118759417,0.0,0.6,0.0,1.6,49.6,0.0,0.4409090909090909,0.0,0.2,0.2,0.0,7.2,0.39215686274509803,0.8,4
acoffin,0.6521739130434783,7.478260869565218,0.2608695652173913,8.232837302600869,0.6991869918699187,0.669260700389105,1.7826086956521738,2.0434782608695654,115.65217391304348,203.47826086956522,8.304347826086957,5.190689932482996,0.7666666666666666,2.5652173913043477,0.782608695652174,1.3043478260869565,21.91304347826087,0.3359683794466403,2.0434782608695654,3
acohen,0.14285714285714285,9.285714285714286,0.0,4.828535832937826,0.5803571428571429,0.8904109589041096,0.2857142857142857,2.142857142857143,96.14285714285714,128.14285714285714,0.0,5.666504550538164,0.0,0.8571428571428571,1.0,0.14285714285714285,19.0,0.38095238095238093,0.2857142857142857,1
adavis2,0.7692307692307693,6.615384615384615,0.19230769230769232,6.079439493255283,0.6745098039215687,0.6277372262773723,1.0769230769230769,1.1923076923076923,159.26923076923077,74.88461538461539,0.0,13.07717903431828,0.7142857142857144,1.5769230769230769,1.7307692307692308,1.0769230769230769,12.923076923076923,0.35664335664335667,1.3076923076923077,2
adavis3,0.6190476190476191,1.2380952380952381,0.19047619047619047,3.517669172932331,0.5531914893617021,0.3291139240506329,0.19047619047619047,0.19047619047619047,44.714285714285715,11.523809523809524,0.0,11.492261904761905,0.0,0.3333333333333333,0.47619047619047616,0.0,3.4285714285714284,0.22268907563025211,0.38095238095238093,4
adavis4,0.7241379310344828,7.344827586206897,0.1724137931034483,4.579800149992457,0.8098859315589354,0.7473684210526316,0.4827586206896552,1.1379310344827587,136.6551724137931,35.93103448275862,0.0,15.654346936909961,0.6,0.7931034482758621,2.413793103448276,0.3448275862068966,9.379310344827585,0.301255230125523,0.6551724137931034,2
adonadio,0.5,0.0,0.05555555555555555,4.326844070961719,0.6020587118759417,0.0,0.3888888888888889,0.4444444444444444,24.72222222222222,17.27777777777778,0.16666666666666666,5.188425925925926,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.3333333333333333,3.5555555555555554,0.24642857142857144,0.4444444444444444,4
adowney,0.5,7.0,0.0,8.27878787878788,0.7,0.7777777777777778,0.0,0.5,1.0,114.0,0.0,0.025000000000000022,0.0,0.0,0.5,0.0,11.0,0.2857142857142857,0.0,1
aengel,1.0,9.0,1.0,7.823529411764706,0.6,0.9,1.0,5.0,-58.0,266.0,1.0,-1.9333333333333333,0.0,1.0,1.0,0.0,29.0,0.1,2.0,3
